region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g7_male,g8_male,g9_male,g10_male,g7_female,g8_female,g9_female,g10_female,jhs_ng_male,jhs_ng_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region VI,Negros Occidental,Moises Padilla,305808,Mateo Libo-on National High School,"Purok Lubi, Brgy. Montilla, Moises Padilla, Negros Occidental",NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),5th District,MONTILLA,Public,DepED Managed,Mother school,Purely JHS,40,45,26,30,46,44,29,28,0,0,0,288,147,435
Region VI,Negros Occidental,Pulupandan,311107,Enriqueta Montilla Esteban MHS-Ubay Ext.,Ubay Proper,NEGROS OCCIDENTAL,PULUPANDAN,4th District,UBAY,Public,DepED Managed,Annex or Extension school(s),Purely JHS,13,16,19,13,9,10,16,22,0,0,0,118,57,175
Region VI,Negros Occidental,Pulupandan,404087,Our Lady of Lourdes Academy (Pul),Riego St.,NEGROS OCCIDENTAL,PULUPANDAN,4th District,BARANGAY ZONE 4 (POB.),Private,Sectarian ,School with no Annexes,Purely JHS,22,25,16,23,19,17,29,25,0,0,0,176,90,266
Region VI,Negros Occidental,Salvador Benedicto,440539,St. Mary of the Lake Mission Sch. Inc.,"So. Magazine, Brgy. Bago,",NEGROS OCCIDENTAL,SALVADOR BENEDICTO,1st District,BAGO (LALUNG),Private,Sectarian ,School with no Annexes,Purely JHS,35,35,18,37,28,34,33,50,0,0,0,270,145,415
Region VI,Negros Occidental,Talisay I,302620,Dr. Antonio Lizares NHS - Ext.,SITIO MAGDALENA,NEGROS OCCIDENTAL,CITY OF TALISAY,3rd District,DOS HERMANAS,Public,DepED Managed,Annex or Extension school(s),Purely JHS,27,24,32,28,21,31,30,24,0,0,0,217,106,323
Region VI,Negros Occidental,Valladolid,302687,Tabao NHS - Lacaron Ext.,-Purok Escarlata,NEGROS OCCIDENTAL,VALLADOLID,4th District,TABAO PROPER,Public,DepED Managed,Annex or Extension school(s),Purely JHS,24,25,29,29,12,24,18,26,0,0,0,187,80,267
Region VI,Negros Occidental,Valladolid,404101,"Francisco Infante Mem. High School, Inc.",Rizal St.,NEGROS OCCIDENTAL,VALLADOLID,4th District,SAGUA BANUA,Private,Non-Sectarian ,School with no Annexes,Purely JHS,27,35,42,33,30,32,38,34,0,0,0,271,134,405
Region VI,Bacolod City,Bacolod City II District,404140,"St. Joseph School - La Salle (Bacolod), Inc.","Fr. Gratian Murray St., Villamonte, Bacolod City",NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Lone District,VILLAMONTE,Private,Sectarian ,School with no Annexes,Purely JHS,187,191,149,155,217,192,204,219,0,0,0,1514,832,2346
Region VI,Bacolod City,Bacolod City III District,305477,Progreso Village National High School,Progreso Village I,NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Lone District,VISTA ALEGRE,Public,DepED Managed,School with no Annexes,Purely JHS,118,172,171,159,99,128,142,112,0,0,0,1101,481,1582
Region VI,Bacolod City,Bacolod City III District,305927,Alangilan Farm School,"Purok 10, Alangilan, Bacolod City",NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Lone District,ALANGILAN,Public,DepED Managed,School with no Annexes,Purely JHS,28,26,25,0,28,26,28,0,0,0,0,161,82,243
Region VI,Bacolod City,Bacolod City VII District,302717,Sum-ag National High School - Cabug National High School - Sum-ag Extension,Purok Cabugwason,NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Lone District,CABUG,Public,DepED Managed,Annex or Extension school(s),Purely JHS,78,100,103,91,46,66,97,73,0,0,0,654,282,936
Region VI,Bacolod City,Bacolod City VII District,305928,Sum-ag Farm School,San Juan Street,NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Lone District,SUM-AG,Public,DepED Managed,School with no Annexes,Purely JHS,10,13,17,0,10,7,13,0,0,0,0,70,30,100
Region VI,Bacolod City,Bacolod City VII District,404119,Holy Family High School-Bacolod,"Cor. Natalia-Torres Sts,",NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Lone District,SUM-AG,Private,Sectarian ,School with no Annexes,Purely JHS,0,0,0,0,49,93,77,58,0,0,0,277,277,554
Region VI,Bago City,Bago City I District,305929,Ramon Torres Malingin Farm School,"Prk. Kawayanan, Brgy. Malingin",NEGROS OCCIDENTAL,BAGO CITY,4th District,MALINGIN,Public,DepED Managed,School with no Annexes,Purely JHS,18,15,11,0,11,15,19,0,0,0,0,89,45,134
Region VI,Bago City,Bago City II District,305798,Ramon Torres Atipuluan National High School,Purok Paglaum Atipuluan Bago City,NEGROS OCCIDENTAL,BAGO CITY,4th District,ATIPULUAN,Public,DepED Managed,School with no Annexes,Purely JHS,25,41,40,47,30,27,43,20,0,0,0,273,120,393
Region VI,Bago City,Bago City IV District,305696,Ramon Torres Bacong National High School,Purok Tuburan 2,NEGROS OCCIDENTAL,BAGO CITY,4th District,BACONG-MONTILLA,Public,DepED Managed,School with no Annexes,Purely JHS,66,79,57,61,64,68,78,69,0,0,0,542,279,821
Region VI,Iloilo City,Arevalo,302740,Melchor L. Nava NHS,Zone 15,ILOILO,ILOILO CITY (Capital),Lone District,CALAPARAN,Public,DepED Managed,School with no Annexes,Purely JHS,54,83,89,94,54,72,77,89,0,0,0,612,292,904
Region VI,Iloilo City,Lapaz,600068,Iloilo Science And Technology University,"Burgos-Mabini, La Paz",ILOILO,ILOILO CITY (Capital),Lone District,BURGOS-MABINI-PLAZA,SUCsLUCs,SUC Managed,Mother school,Purely JHS,53,49,32,29,45,49,61,41,0,0,0,359,196,555
Region VI,La Carlota City,La Carlota City District   I,306244,Balabag National High School,Brg. Balabag,NEGROS OCCIDENTAL,LA CARLOTA CITY,1st District,BALABAG,Public,DepED Managed,School with no Annexes,Purely JHS,18,29,32,28,27,26,27,24,0,0,0,211,104,315
Region VI,La Carlota City,La Carlota City District   III,305933,La Granja Farm School,Purok 6,NEGROS OCCIDENTAL,LA CARLOTA CITY,4th District,LA GRANJA,Public,DepED Managed,School with no Annexes,Purely JHS,18,41,47,0,13,37,26,0,0,0,0,182,76,258
Region VI,Roxas City,Roxas City District I,600069,CAPIZ STATE UNIVERSITY-MAIN CAMPUS,"Fuentes Drive., Roxas City",CAPIZ,ROXAS CITY (Capital),1st District,TIZA,SUCsLUCs,SUC Managed,Mother school,Purely JHS,13,14,18,13,23,22,21,29,0,0,0,153,95,248
Region VI,Sagay City,Sagay City District I,302770,Sewahon National High School,"Brgy. Sewahon, Sagay City",NEGROS OCCIDENTAL,SAGAY CITY,2nd District,CAMPO SANTIAGO,Public,DepED Managed,School with no Annexes,Purely JHS,6,16,10,11,14,18,13,8,0,0,0,96,53,149
Region VI,Sagay City,Sagay City District I,305536,Trinidad Lopez de Gonzaga National High School,Brgy. Gen. Luna,NEGROS OCCIDENTAL,SAGAY CITY,2nd District,GENERAL LUNA,Public,DepED Managed,School with no Annexes,Purely JHS,27,25,32,25,23,27,25,31,0,0,0,215,106,321
Region VI,Sagay City,Sagay City District I,311801,Old Sagay National High School,"Purok Manzanilla, Brgy. Old Sagay, Sagay City",NEGROS OCCIDENTAL,SAGAY CITY,2nd District,OLD SAGAY,Public,DepED Managed,School with no Annexes,Purely JHS,73,123,118,143,75,94,98,105,0,0,0,829,372,1201
Region VI,Sagay City,Sagay City District III,305537,Patricio M. Baviera National High School,Purok Halandumon,NEGROS OCCIDENTAL,SAGAY CITY,2nd District,BAVIERA,Public,DepED Managed,School with no Annexes,Purely JHS,17,19,22,20,14,11,21,16,0,0,0,140,62,202
Region VI,San Carlos City,San Carlos City District III,305934,Quezon Farm School,Purok Ilang-Ilang,NEGROS OCCIDENTAL,SAN CARLOS CITY,1st District,QUEZON,Public,DepED Managed,School with no Annexes,Purely JHS,30,12,11,0,13,8,16,0,0,0,0,90,37,127
Region VI,Kabankalan City,Kabankalan IV,305932,Tabugon Farm School,Purok Bugo,NEGROS OCCIDENTAL,CITY OF KABANKALAN,6th District,TABUGON,Public,DepED Managed,School with no Annexes,Purely JHS,16,25,19,0,14,23,19,0,0,0,0,116,56,172
Region VI,Kabankalan City,Kabankalan V,305892,Bula National High School,"Sitio Bula, Brgy. Carol-an, Kabankalan City Negros Occidental",NEGROS OCCIDENTAL,CITY OF KABANKALAN,6th District,CAROL-AN,Public,DepED Managed,Mother school,Purely JHS,22,14,25,22,17,23,34,19,0,0,0,176,93,269
Region VI,Kabankalan City,Kabankalan V,305893,Camingawan National High School,"Camingawan, Kabankalan City, Negros Occidental",NEGROS OCCIDENTAL,CITY OF KABANKALAN,6th District,CAMINGAWAN,Public,DepED Managed,Mother school,Purely JHS,60,74,71,55,53,66,60,67,0,0,0,506,246,752
Region VI,Passi City,Passi City District I (West),312203,Agdahon Farm School,Zone 6,ILOILO,CITY OF PASSI,4th District,AGDAHON,Public,DepED Managed,School with no Annexes,Purely JHS,29,43,45,42,25,34,29,22,0,0,0,269,110,379
Region VI,Passi City,Passi City District II (East),306246,Maila Paderes Aritalla National High School,Brgy. Jaguimitan,ILOILO,CITY OF PASSI,4th District,JAGUIMITAN,Public,DepED Managed,School with no Annexes,Purely JHS,51,49,41,49,44,45,53,39,0,0,0,371,181,552
Region VI,Sipalay City,District 1,306247,Cambogui-ot National High School,Sitio Cambogui-ot,NEGROS OCCIDENTAL,CITY OF SIPALAY,6th District,CAMINDANGAN,Public,DepED Managed,School with no Annexes,Purely JHS,37,31,30,26,28,41,24,29,0,0,0,246,122,368
Region VI,Victorias City,Victorias I,306248,Barangay I National High School,Pangarap Village,NEGROS OCCIDENTAL,CITY OF VICTORIAS,3rd District,BARANGAY I (POB.),Public,DepED Managed,School with no Annexes,Purely JHS,12,23,27,31,11,9,16,20,0,0,0,149,56,205
Region VI,Victorias City,Victorias II,302696,Victorias City Farm School,Hacienda Cuaycong,NEGROS OCCIDENTAL,CITY OF VICTORIAS,3rd District,BARANGAY XX,Public,DepED Managed,School with no Annexes,Purely JHS,79,73,81,101,66,64,65,68,0,0,0,597,263,860
Region VII,Bohol,Antequera,306195,Villa Aurora High School,"Brgy. Villa Aurora, Antequera, Bohol",BOHOL,ANTEQUERA,1st District,VILLA AURORA (CANOC-OC),Public,DepED Managed,School with no Annexes,Purely JHS,18,14,0,0,18,8,0,0,0,0,0,58,26,84
Region VII,Bohol,Bien Unido,305719,Modesto G. Autida High School,Pinamgo,BOHOL,BIEN UNIDO,2nd District,PINAMGO,Public,DepED Managed,School with no Annexes,Purely JHS,19,33,17,25,17,25,20,14,0,0,0,170,76,246
Region VII,Bohol,Bilar,305710,Campagao High School,"Campagao, Bilar Bohol",BOHOL,BILAR,3rd District,CAMPAGAO,Public,DepED Managed,School with no Annexes,Purely JHS,39,50,40,43,31,43,36,46,0,0,0,328,156,484
Region VII,Bohol,Bilar,446565,"Hegina Enliven Academy for Development, Inc.",Poblacion,BOHOL,BILAR,3rd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely JHS,2,5,5,5,4,4,3,7,0,0,0,35,18,53
Region VII,Bohol,Buenavista,306191,Buenavista Municipal High School,"Brgy. Sweetland, Buenavita, Bohol",BOHOL,BUENAVISTA,2nd District,SWEETLAND,Public,DepED Managed,School with no Annexes,Purely JHS,63,13,0,0,56,4,0,0,0,0,0,136,60,196
Region VII,Bohol,Calape,404238,Bohol Province Institute,"San Isidro, Calape, Bohol",BOHOL,CALAPE,1st District,SAN ISIDRO,Private,Sectarian ,School with no Annexes,Purely JHS,5,9,7,20,4,7,1,17,0,0,0,70,29,99
Region VII,Bohol,Cortes,306073,Loreto High School,"Barangay Loreto, Cortes, Bohol",BOHOL,CORTES,1st District,LORETO,Public,DepED Managed,School with no Annexes,Purely JHS,11,13,5,0,9,6,7,0,0,0,0,51,22,73
Region VII,Bohol,Garcia-Hernandez,306193,Cayam High School,"Brgy. Cayam, Garcia Hernandez, Bohol",BOHOL,GARCIA HERNANDEZ,3rd District,CAYAM,Public,DepED Managed,School with no Annexes,Purely JHS,17,7,0,0,12,15,0,0,0,0,0,51,27,78
Region VII,Bohol,Garcia-Hernandez,306194,Abijilan High School,"Brgy. Abijilan, Garcia Hernandez, Bohol",BOHOL,GARCIA HERNANDEZ,3rd District,ABIJILAN,Public,DepED Managed,School with no Annexes,Purely JHS,10,15,0,0,7,6,0,0,0,0,0,38,13,51
Region VII,Bohol,Getafe,312322,Pandanon HS,Pandanon,BOHOL,GETAFE,2nd District,PANDANON,Public,DepED Managed,School with no Annexes,Purely JHS,18,16,29,24,18,22,28,20,0,0,0,175,88,263
Region VII,Bohol,Loay,306192,Loay National High School,"Brgy. Botoc, Loay, Bohol",BOHOL,LOAY,1st District,BOTOC ORIENTAL,Public,DepED Managed,School with no Annexes,Purely JHS,33,24,0,0,24,22,0,0,0,0,0,103,46,149
Region VII,Bohol,Loon North,305957,Lopez-Dano-Simbajon High School,"Pondol, Loon, Bohol",BOHOL,LOON,1st District,PONDOL,Public,DepED Managed,School with no Annexes,Purely JHS,22,17,17,1,9,22,9,3,0,0,0,100,43,143
Region VII,Bohol,Loon North,306050,Loon North High School,"Brgy. Cantomocad, Loon Bohol",BOHOL,LOON,1st District,CANTUMOCAD,Public,DepED Managed,School with no Annexes,Purely JHS,7,9,7,3,8,8,3,7,0,0,0,52,26,78
Region VII,Bohol,Loon South,306232,Loon East High School,"Nagtuang, Loon, Bohol",BOHOL,LOON,1st District,NAGTUANG,Public,DepED Managed,School with no Annexes,Purely JHS,13,11,7,0,13,11,8,0,0,0,0,63,32,95
Region VII,Bohol,Sagbayan,305721,Canmaya Diot High School,"Canmaya Diot, Sagbayan Bohol",BOHOL,SAGBAYAN (BORJA),2nd District,CANMAYA DIOT,Public,DepED Managed,School with no Annexes,Purely JHS,17,23,21,27,15,20,22,18,0,0,0,163,75,238
Region VII,Bohol,Talibon I,305761,Guindacpan High School,"Guindacpan, Talibon, Bohol",BOHOL,TALIBON,1st District,GUINDACPAN,Public,DepED Managed,School with no Annexes,Purely JHS,23,21,26,31,20,19,29,22,0,0,0,191,90,281
Region VII,Bohol,Talibon I,306249,San Carlos High School,"Talibon, Bohol",BOHOL,TALIBON,2nd District,SAN CARLOS,Public,DepED Managed,School with no Annexes,Purely JHS,24,0,0,0,24,0,0,0,0,0,0,48,24,72
Region VII,Bohol,Trinidad,305762,Guinobatan High School,"Guinobatan, Trinidad, Bohol",BOHOL,TRINIDAD,2nd District,GUINOBATAN,Public,DepED Managed,School with no Annexes,Purely JHS,18,16,15,13,9,26,14,16,0,0,0,127,65,192
Region VII,Bohol,Valencia,306072,Anoyon High School,"Barangay Anoyon, Valencia, Bohol",BOHOL,VALENCIA,3rd District,ANOYON,Public,DepED Managed,School with no Annexes,Purely JHS,13,17,12,22,12,8,12,8,0,0,0,104,40,144
Region VII,Bohol,Valencia,306074,Tipolo National High School,"Barangay Tipolo, Ubay, Bohol",BOHOL,UBAY,2nd District,TIPOLO,Public,DepED Managed,School with no Annexes,Purely JHS,17,27,8,0,18,7,4,0,0,0,0,81,29,110
Region VII,Bohol,Valencia,306239,Anas High School,"Brgy. Anas, Valencia Bohol",BOHOL,VALENCIA,1st District,ANAS,Public,DepED Managed,School with no Annexes,Purely JHS,19,0,0,0,23,0,0,0,0,0,0,42,23,65
Region VII,Bohol,Ubay III (Southwest),305935,Ricardo O. Boyles Sr. National High School,"Casate, Ubay, Bohol",BOHOL,UBAY,2nd District,CASATE,Public,DepED Managed,School with no Annexes,Purely JHS,19,14,26,0,12,11,16,0,0,0,0,98,39,137
Region VII,Cebu,Badian,312471,Manduyong National High School,"Manduyong, Badian, Cebu",CEBU,BADIAN,2nd District,MANDUYONG,Public,DepED Managed,Annex or Extension school(s),Purely JHS,37,33,35,34,19,24,33,18,0,0,0,233,94,327
Region VII,Cebu,Catmon,306260,Anapog National High School,"Anapo, Catmon, Cebu",CEBU,CATMON,1st District,ANAPOG,Public,DepED Managed,School with no Annexes,Purely JHS,2,0,0,0,7,0,0,0,0,0,0,9,7,16
Region VII,Cebu,Catmon,306261,Cabungaan National High School,"Cabungaan, Catmon, Cebu",CEBU,CATMON,1st District,CABUNGAAN,Public,DepED Managed,School with no Annexes,Purely JHS,19,0,0,0,10,0,0,0,0,0,0,29,10,39
Region VII,Cebu,Catmon,306262,Duyan National High School,"Duyan, Catmon, Cebu",CEBU,CATMON,1st District,DUYAN,Public,DepED Managed,School with no Annexes,Purely JHS,4,0,0,0,6,0,0,0,0,0,0,10,6,16
Region VII,Cebu,Catmon,306263,Macaas National High School,"Macaas, Catmojn, Cebu",CEBU,CATMON,1st District,MACAAS,Public,DepED Managed,School with no Annexes,Purely JHS,24,0,0,0,22,0,0,0,0,0,0,46,22,68
Region VII,Cebu,Consolacion,303158,Nangka National High School,"Purok 4, Nangka, Consolacion, Cebu",CEBU,CONSOLACION,6th District,DANGLAG,Public,DepED Managed,School with no Annexes,Purely JHS,78,86,95,95,68,87,101,83,0,0,0,693,339,1032
Region VII,Cebu,Cordova,305874,Pilipog Night High School,"Pilipog, Cordova",CEBU,CORDOVA,6th District,PILIPOG,Public,DepED Managed,School with no Annexes,Purely JHS,123,118,71,77,70,85,59,59,0,0,0,662,273,935
Region VII,Cebu,Liloan,409783,"Northpoint Center for Learning and Advancement (NCLA), Inc.","Pagutlan, Yati, Liloan",CEBU,LILOAN,1st District,YATI,Private,Non-Sectarian ,Mother school,Purely JHS,4,5,4,0,0,8,3,1,0,0,0,25,12,37
Region VII,Cebu,Oslob,404375,"St. Mary's Academy (Oslob, Cebu), Inc.","J.P. Rizal St., Poblaion, Oslob, Cebu",CEBU,OSLOB,2nd District,POBLACION,Private,Sectarian ,School with no Annexes,Purely JHS,48,40,41,45,29,34,32,36,0,0,0,305,131,436
Region VII,Cebu,San Fernando,306000,"RICARDO Y. RELUYA, JR. TECHNICAL-VOCATIONAL HIGH SCHOOL","North Poblacion, San Fernando, Cebu",CEBU,SAN FERNANDO,1st District,POBLACION NORTH,Public,DepED Managed,School with no Annexes,Purely JHS,16,12,0,0,13,17,0,0,0,0,0,58,30,88
Region VII,Cebu,San Francisco,305987,Santa Cruz National High School,"Santa Cruz, San Francisco Cebu",CEBU,SAN FRANCISCO,1st District,SANTA CRUZ,Public,DepED Managed,School with no Annexes,Purely JHS,36,34,37,0,20,35,22,0,0,0,0,184,77,261
Region VII,Cebu,Sibonga,306234,Bahay-Bagacay National High School,"Brgy. Bagacay, Sibonga, Cebu",CEBU,SIBONGA,1st District,BAGACAY,Public,DepED Managed,School with no Annexes,Purely JHS,21,0,0,0,16,0,0,0,0,0,0,37,16,53
Region VII,Cebu,Sibonga,306235,Candaguit National High School,"Brgy. Candaguit, Sibonga Cebu",CEBU,SIBONGA,1st District,CANDAGUIT,Public,DepED Managed,School with no Annexes,Purely JHS,22,0,0,0,8,0,0,0,0,0,0,30,8,38
Region VII,Cebu,Sibonga,306236,Sabang National High School,"Sabang, Sibonga, Cebu",CEBU,SIBONGA,1st District,SABANG,Public,DepED Managed,School with no Annexes,Purely JHS,19,34,0,0,11,39,0,0,0,0,0,103,50,153
Region VII,Cebu,Sibonga,306237,Tubod National High School,"Tubod, Sibonga, Cebu",CEBU,SIBONGA,1st District,TUBOD,Public,DepED Managed,School with no Annexes,Purely JHS,19,0,0,0,20,0,0,0,0,0,0,39,20,59
Region VII,Cebu,Sibonga,409781,Nextgen Agape Academy Inc.,"Abugon, Sibonga, Cebu",CEBU,SIBONGA,1st District,ABUGON,Private,Non-Sectarian ,Mother school,Purely JHS,7,6,3,3,8,6,1,3,0,0,0,37,18,55
Region VII,Cebu,Sogod,305755,Sogod National High School,"Bagatayam, Sogod Cebu",CEBU,SOGOD,1st District,BAGATAYAM,Public,DepED Managed,School with no Annexes,Purely JHS,68,60,69,58,54,53,76,74,0,0,0,512,257,769
Region VII,Cebu,Sogod,306271,Servillano Aranco National High School,"Bagakay, Sogod, Cebu",CEBU,SOGOD,1st District,BAGAKAY,Public,DepED Managed,School with no Annexes,Purely JHS,7,0,0,0,6,0,0,0,0,0,0,13,6,19
Region VII,Cebu,Tabuelan,306084,Casiano D. Gerona National High School,"Tigbawan, Tabuelan, Cebu",CEBU,TABUELAN,1st District,TIGBAWAN,Public,DepED Managed,School with no Annexes,Purely JHS,15,12,0,0,6,13,0,0,0,0,0,46,19,65
Region VII,Cebu,Tuburan I,305595,Lusong National High School,"Lusong, Tuburan, Cebu",CEBU,TUBURAN,3rd District,LUSONG,Public,DepED Managed,School with no Annexes,Purely JHS,11,9,16,14,11,10,14,11,0,0,0,96,46,142
Region VII,Cebu City,South District 2,312515,Quiot High School,Sitio Bogo Quiot,CEBU,CEBU CITY (Capital),2nd District,QUIOT PARDO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,125,155,169,128,110,146,151,125,0,0,0,1109,532,1641
Region VII,Cebu City,South District 8,303135,Tagba-o NHS,-Tagba-o,CEBU,CEBU CITY (Capital),1st District,TAGBAO,Public,DepED Managed,School with no Annexes,Purely JHS,12,19,11,12,14,6,10,9,0,0,0,93,39,132
Region VII,Dumaguete City,Dumaguete City South District,303170,Hermenegilda F. Gloria Memorial High School,"Purok Kapitan Ano, Banilad",NEGROS ORIENTAL,DUMAGUETE CITY (Capital),2nd District,BANILAD,Public,DepED Managed,School with no Annexes,Purely JHS,24,34,36,28,15,33,28,25,0,0,0,223,101,324
Region VII,Lapu-Lapu City,Lapu-Lapu City East District,303191,Pangan-an High School,"Pangan-an, Lapu-lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,PANGAN-AN,Public,DepED Managed,Annex or Extension school(s),Purely JHS,28,26,35,32,27,29,42,43,0,0,0,262,141,403
Region VII,Lapu-Lapu City,Lapu-Lapu City East District,305691,Buyong High School,"Buyong, Maribago, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),1st District,MARIBAGO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,69,81,108,94,88,68,84,85,0,0,0,677,325,1002
Region VII,Lapu-Lapu City,Lapu-Lapu City East District,305692,Tungasan High School,"Tungasan, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),1st District,TUNGASAN,Public,DepED Managed,Annex or Extension school(s),Purely JHS,24,30,26,13,25,19,34,18,0,0,0,189,96,285
Region VII,Lapu-Lapu City,Lapu-Lapu City North District,303175,Abuno High School,"Abuno, Pajac Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,PAJAC,Public,DepED Managed,Annex or Extension school(s),Purely JHS,104,119,135,117,83,104,114,113,0,0,0,889,414,1303
Region VII,Lapu-Lapu City,Lapu-Lapu City North District,303179,Punta Engaño High School,"Proper, Punta Engaño, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,PUNTA ENGAÃ‘O,Public,DepED Managed,Annex or Extension school(s),Purely JHS,79,99,108,71,75,102,101,90,0,0,0,725,368,1093
Region VII,Lapu-Lapu City,Lapu-Lapu City North District,303185,Pajo Night High School,"Sangi Road, Pajo, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,PAJO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,12,19,20,31,11,16,18,23,0,0,0,150,68,218
Region VII,Lapu-Lapu City,Lapu-Lapu City North District,303186,Mactan Air Base National High School,"Mactan Ebuen Air Base, Pajo, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,BUAYA,Public,DepED Managed,Annex or Extension school(s),Purely JHS,78,56,61,56,47,60,65,58,0,0,0,481,230,711
Region VII,Lapu-Lapu City,Lapu-Lapu City North District,303188,Pusok Night High School,"-Matumbo, Pusok Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,PUSOK,Public,DepED Managed,Annex or Extension school(s),Purely JHS,17,15,31,20,7,16,19,20,0,0,0,145,62,207
Region VII,Lapu-Lapu City,Lapu-Lapu City North District,312702,Bankal Night High School,"Bankal, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,BANKAL,Public,DepED Managed,Annex or Extension school(s),Purely JHS,1,4,5,16,1,6,6,12,0,0,0,51,25,76
Region VII,Lapu-Lapu City,Lapu-Lapu City South District,303176,Maribago High School,"Datag, Maribago, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,MARIBAGO,Public,DepED Managed,Annex or Extension school(s),Purely JHS,101,129,154,144,89,123,129,138,0,0,0,1007,479,1486
Region VII,Lapu-Lapu City,Lapu-Lapu City South District,303181,Basak Night High School,"George Tampus St., Basak, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,BASAK,Public,DepED Managed,Annex or Extension school(s),Purely JHS,72,72,80,77,69,58,62,63,0,0,0,553,252,805
Region VII,Lapu-Lapu City,Lapu-Lapu City South District,303182,Gun-ob Night High School,"A. Tumulak St., Gun-ob, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,GUN-OB,Public,DepED Managed,Annex or Extension school(s),Purely JHS,14,19,28,27,6,16,8,19,0,0,0,137,49,186
Region VII,Lapu-Lapu City,Lapu-Lapu City South District,312703,Gun-ob High School,"A. Tumulak St.Gun-ob, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,GUN-OB,Public,DepED Managed,Annex or Extension school(s),Purely JHS,115,137,125,131,99,129,120,142,0,0,0,998,490,1488
Region VII,Lapu-Lapu City,Lapu-Lapu City South District,312704,Sudtonggan Night High School,"Sudtonggan, Lapu-lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,BASAK,Public,DepED Managed,Annex or Extension school(s),Purely JHS,62,77,105,111,55,54,85,79,0,0,0,628,273,901
Region VII,Lapu-Lapu City,Lapu-Lapu City West District,303173,Poblacion Night High School,"P. Rodriguez St. Poblacion, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,POBLACION,Public,DepED Managed,Annex or Extension school(s),Purely JHS,10,18,17,24,6,13,10,20,0,0,0,118,49,167
Region VII,Lapu-Lapu City,Lapu-Lapu City West District,312701,Babag Night High School,"Babag 1, Lapu-Lapu City",CEBU,LAPU-LAPU CITY (OPON),6th District,BABAG,Public,DepED Managed,Annex or Extension school(s),Purely JHS,0,11,11,16,0,11,17,14,0,0,0,80,42,122
Region VII,Mandaue City,Mandaue City Central District,306196,Basak National High School,"Basak. Mandaue City, Cebu",CEBU,MANDAUE CITY,1st District,BASAK,Public,DepED Managed,School with no Annexes,Purely JHS,68,0,0,0,67,0,0,0,0,0,0,135,67,202
Region VII,Mandaue City,Mandaue City Central District,306197,Cubacub National High School,"Cubacub, Mandaue City, Cebu",CEBU,MANDAUE CITY,1st District,CUBACUB,Public,DepED Managed,School with no Annexes,Purely JHS,52,0,0,0,58,0,0,0,0,0,0,110,58,168
Region VII,Mandaue City,Mandaue City Central District,306198,Tawason National High School,"Tawason, Mandaue City, Cebu",CEBU,MANDAUE CITY,1st District,TAWASON,Public,DepED Managed,School with no Annexes,Purely JHS,36,0,0,0,26,0,0,0,0,0,0,62,26,88
Region VII,Mandaue City,Mandaue City South District,303204,Tipolo NHS,"C.D. SENO ST.,",CEBU,MANDAUE CITY,6th District,TIPOLO,Public,DepED Managed,School with no Annexes,Purely JHS,86,99,101,115,78,80,116,118,0,0,0,793,392,1185
Region VII,Mandaue City,Mandaue City South District,312811,Banilad NHS (Cabancalan NHS Ext.),A.S. Fortuna St.,CEBU,MANDAUE CITY,6th District,BANILAD,Public,DepED Managed,Annex or Extension school(s),Purely JHS,60,69,68,83,45,69,64,54,0,0,0,512,232,744
Region VII,Mandaue City,Mandaue City West District,303196,Pagsabungan NHS,Sector 6,CEBU,MANDAUE CITY,6th District,PAGSABUNGAN,Public,DepED Managed,Annex or Extension school(s),Purely JHS,94,134,126,140,95,123,139,137,0,0,0,988,494,1482
